cue,stim,ITI,category,correctresp,response,RT,correct,cuecolor,stimcolor,ispractice
A,X,2500,AX,/,,0,0,1,1,1
A,X,1500,AX,/,,0,0,1,1,1
A,X,2000,AX,/,,0,0,1,1,1
A,X,2500,AX,/,,0,0,1,1,1
A,X,1500,AX,/,,0,0,1,1,1
A,X,1500,AX,/,,0,0,1,1,1
A,X,1500,AX,/,,0,0,1,1,1
A,X,2000,AX,/,,0,0,1,1,1
A,Z,1500,AY,x,,0,0,1,1,1
A,S,2000,AY,x,,0,0,1,1,1
A,I,2000,AY,x,,0,0,1,1,1
A,H,2500,AY,x,,0,0,1,1,1
A,V,2500,AY,x,,0,0,1,1,1
A,W,1500,AY,x,,0,0,1,1,1
A,Q,1500,AY,x,,0,0,1,1,1
A,H,1500,AY,x,,0,0,1,1,1
A,D,2500,AY,x,,0,0,1,1,1
A,V,2000,AY,x,,0,0,1,1,1
A,P,1500,AY,x,,0,0,1,1,1
A,Y,1500,AY,x,,0,0,1,1,1
A,C,2000,AY,x,,0,0,1,1,1
A,P,2500,AY,x,,0,0,1,1,1
A,H,2000,AY,x,,0,0,1,1,1
A,U,1500,AY,x,,0,0,1,1,1
C,H,1500,YY,x,,0,0,1,1,1
U,T,2000,YY,x,,0,0,1,1,1
L,Z,2500,YY,x,,0,0,1,1,1
K,F,1500,YY,x,,0,0,1,1,1
T,T,2500,YY,x,,0,0,1,1,1
J,F,2500,YY,x,,0,0,1,1,1
N,Z,2000,YY,x,,0,0,1,1,1
S,U,1500,YY,x,,0,0,1,1,1
V,L,2000,YY,x,,0,0,1,1,1
I,S,2000,YY,x,,0,0,1,1,1
Q,M,2500,YY,x,,0,0,1,1,1
Z,U,2500,YY,x,,0,0,1,1,1
C,J,2500,YY,x,,0,0,1,1,1
P,C,2500,YY,x,,0,0,1,1,1
K,P,2000,YY,x,,0,0,1,1,1
I,W,2500,YY,x,,0,0,1,1,1
A,X,2500,AX,/,,0,0,1,1,0
A,X,2500,AX,/,,0,0,1,1,0
A,X,2500,AX,/,,0,0,1,1,0
A,X,2000,AX,/,,0,0,1,1,0
A,X,1500,AX,/,,0,0,1,1,0
A,X,1500,AX,/,,0,0,1,1,0
A,X,2000,AX,/,,0,0,1,1,0
A,X,2500,AX,/,,0,0,1,1,0
A,X,2000,AX,/,,0,0,1,1,0
A,X,2000,AX,/,,0,0,1,1,0
A,X,2000,AX,/,,0,0,1,1,0
A,X,2500,AX,/,,0,0,1,1,0
A,X,1500,AX,/,,0,0,1,1,0
A,X,2500,AX,/,,0,0,1,1,0
A,X,2000,AX,/,,0,0,1,1,0
A,X,2000,AX,/,,0,0,1,1,0
A,X,2500,AX,/,,0,0,1,1,0
A,X,2000,AX,/,,0,0,1,1,0
A,X,1500,AX,/,,0,0,1,1,0
A,X,2000,AX,/,,0,0,1,1,0
A,X,2000,AX,/,,0,0,1,1,0
A,X,1500,AX,/,,0,0,1,1,0
A,X,2500,AX,/,,0,0,1,1,0
A,X,2500,AX,/,,0,0,1,1,0
A,X,2500,AX,/,,0,0,1,1,0
A,X,1500,AX,/,,0,0,1,1,0
A,X,1500,AX,/,,0,0,1,1,0
A,X,1500,AX,/,,0,0,1,1,0
A,X,2000,AX,/,,0,0,1,1,0
A,X,1500,AX,/,,0,0,1,1,0
A,X,2000,AX,/,,0,0,1,1,0
A,X,2500,AX,/,,0,0,1,1,0
A,O,2500,AY,x,,0,0,1,1,0
A,J,1500,AY,x,,0,0,1,1,0
A,G,1500,AY,x,,0,0,1,1,0
A,L,2000,AY,x,,0,0,1,1,0
A,Y,1500,AY,x,,0,0,1,1,0
A,D,2500,AY,x,,0,0,1,1,0
A,M,2500,AY,x,,0,0,1,1,0
A,V,2000,AY,x,,0,0,1,1,0
A,C,1500,AY,x,,0,0,1,1,0
A,R,2500,AY,x,,0,0,1,1,0
A,Z,1500,AY,x,,0,0,1,1,0
A,H,2000,AY,x,,0,0,1,1,0
A,E,2000,AY,x,,0,0,1,1,0
A,R,2000,AY,x,,0,0,1,1,0
A,W,2500,AY,x,,0,0,1,1,0
A,P,2500,AY,x,,0,0,1,1,0
A,W,2500,AY,x,,0,0,1,1,0
A,F,1500,AY,x,,0,0,1,1,0
A,T,2000,AY,x,,0,0,1,1,0
A,J,1500,AY,x,,0,0,1,1,0
A,L,2500,AY,x,,0,0,1,1,0
A,E,2000,AY,x,,0,0,1,1,0
A,U,2500,AY,x,,0,0,1,1,0
A,P,2500,AY,x,,0,0,1,1,0
A,S,2500,AY,x,,0,0,1,1,0
A,U,2000,AY,x,,0,0,1,1,0
A,C,1500,AY,x,,0,0,1,1,0
A,Y,2000,AY,x,,0,0,1,1,0
A,M,1500,AY,x,,0,0,1,1,0
A,T,1500,AY,x,,0,0,1,1,0
A,S,1500,AY,x,,0,0,1,1,0
A,U,1500,AY,x,,0,0,1,1,0
A,E,2500,AY,x,,0,0,1,1,0
A,L,2500,AY,x,,0,0,1,1,0
A,P,2000,AY,x,,0,0,1,1,0
A,Y,2000,AY,x,,0,0,1,1,0
A,V,2500,AY,x,,0,0,1,1,0
A,W,2000,AY,x,,0,0,1,1,0
A,O,2500,AY,x,,0,0,1,1,0
A,O,2500,AY,x,,0,0,1,1,0
A,V,2000,AY,x,,0,0,1,1,0
A,B,2000,AY,x,,0,0,1,1,0
A,W,2000,AY,x,,0,0,1,1,0
A,K,2000,AY,x,,0,0,1,1,0
A,B,2500,AY,x,,0,0,1,1,0
A,S,2500,AY,x,,0,0,1,1,0
A,E,1500,AY,x,,0,0,1,1,0
A,E,2500,AY,x,,0,0,1,1,0
A,P,1500,AY,x,,0,0,1,1,0
A,H,2000,AY,x,,0,0,1,1,0
A,I,2500,AY,x,,0,0,1,1,0
A,K,2500,AY,x,,0,0,1,1,0
A,K,2000,AY,x,,0,0,1,1,0
A,K,2500,AY,x,,0,0,1,1,0
A,P,2500,AY,x,,0,0,1,1,0
A,F,1500,AY,x,,0,0,1,1,0
A,F,1500,AY,x,,0,0,1,1,0
A,D,1500,AY,x,,0,0,1,1,0
A,I,2000,AY,x,,0,0,1,1,0
A,T,1500,AY,x,,0,0,1,1,0
A,G,2500,AY,x,,0,0,1,1,0
A,S,1500,AY,x,,0,0,1,1,0
A,R,2000,AY,x,,0,0,1,1,0
A,U,1500,AY,x,,0,0,1,1,0
V,W,1500,YY,x,,0,0,1,1,0
F,W,2500,YY,x,,0,0,1,1,0
N,L,2000,YY,x,,0,0,1,1,0
Z,T,2500,YY,x,,0,0,1,1,0
J,E,2000,YY,x,,0,0,1,1,0
C,P,2500,YY,x,,0,0,1,1,0
G,H,1500,YY,x,,0,0,1,1,0
K,L,2500,YY,x,,0,0,1,1,0
J,V,2500,YY,x,,0,0,1,1,0
G,F,1500,YY,x,,0,0,1,1,0
Y,I,2000,YY,x,,0,0,1,1,0
R,M,1500,YY,x,,0,0,1,1,0
Z,J,2000,YY,x,,0,0,1,1,0
L,U,1500,YY,x,,0,0,1,1,0
Y,Z,2000,YY,x,,0,0,1,1,0
B,E,2000,YY,x,,0,0,1,1,0
P,G,2000,YY,x,,0,0,1,1,0
U,R,2000,YY,x,,0,0,1,1,0
G,K,1500,YY,x,,0,0,1,1,0
Y,Z,2000,YY,x,,0,0,1,1,0
T,Z,2000,YY,x,,0,0,1,1,0
U,Q,1500,YY,x,,0,0,1,1,0
O,V,2000,YY,x,,0,0,1,1,0
U,K,2000,YY,x,,0,0,1,1,0
I,Q,2000,YY,x,,0,0,1,1,0
G,Z,2500,YY,x,,0,0,1,1,0
I,O,2500,YY,x,,0,0,1,1,0
P,Y,2500,YY,x,,0,0,1,1,0
U,S,1500,YY,x,,0,0,1,1,0
H,M,1500,YY,x,,0,0,1,1,0
K,Q,2000,YY,x,,0,0,1,1,0
V,W,2500,YY,x,,0,0,1,1,0
P,F,2500,YY,x,,0,0,1,1,0
Z,K,2000,YY,x,,0,0,1,1,0
F,Z,2000,YY,x,,0,0,1,1,0
U,K,1500,YY,x,,0,0,1,1,0
R,Q,2500,YY,x,,0,0,1,1,0
G,W,2000,YY,x,,0,0,1,1,0
M,Z,1500,YY,x,,0,0,1,1,0
K,Q,2000,YY,x,,0,0,1,1,0
P,D,1500,YY,x,,0,0,1,1,0
U,B,2500,YY,x,,0,0,1,1,0
D,P,2000,YY,x,,0,0,1,1,0
U,O,2500,YY,x,,0,0,1,1,0
V,Z,1500,YY,x,,0,0,1,1,0
J,S,2500,YY,x,,0,0,1,1,0
L,Q,2000,YY,x,,0,0,1,1,0
O,N,2000,YY,x,,0,0,1,1,0
R,H,2000,YY,x,,0,0,1,1,0
S,Z,2500,YY,x,,0,0,1,1,0
T,N,1500,YY,x,,0,0,1,1,0
K,B,2500,YY,x,,0,0,1,1,0
L,R,1500,YY,x,,0,0,1,1,0
Y,N,1500,YY,x,,0,0,1,1,0
O,C,1500,YY,x,,0,0,1,1,0
V,W,2500,YY,x,,0,0,1,1,0
H,I,1500,YY,x,,0,0,1,1,0
P,G,2000,YY,x,,0,0,1,1,0
P,D,2000,YY,x,,0,0,1,1,0
Z,I,2000,YY,x,,0,0,1,1,0
D,G,2500,YY,x,,0,0,1,1,0
N,Q,1500,YY,x,,0,0,1,1,0
N,C,2500,YY,x,,0,0,1,1,0
D,H,2000,YY,x,,0,0,1,1,0
